paper,score
Tripos Theory in Retrospect.,3.381781295647135
Decidability of Plain and Hereditary History-Preserving Bisimilarity for BPP.,3.3546790936031154
Fully Symbolic Model Checking of Timed Systems using Difference Decision Diagrams.,3.2698614017481598
Confinement Properties for Multi-Threaded Programs.,3.148978213146536
Hierarchy of asynchronous automata.,3.1300785981431596
Theory exploration versus theorem proving.,3.1278898285830654
"Semantic Domains, Injective Spaces and Monads.",3.1192792707543777
Bibliography on Realizability.,3.112546821268023
On The Expressiveness of Timed Concurrent Constraint Programming.,3.082924044559866
Building up hierarchical mathematical domains using functors in Theorema.,3.059903219304317
Realizability Models for Type Theories.,3.0573648042357946
"Uniform provability realization of intuitionistic logic, modality and lambda-terms.",3.03023966400643
Using Abstract Interpretation for the Safe Verification of Security Protocols.,3.024230275816022
Semantics-Driven Language Design: Statically Type-safe Virtual Types in Object-oriented Languages.,3.01107408677498
"(Omega, Xi)-Logic: On the Algebraic Extension of Coalgebraic Specifications.",3.0012900457226026
Flexibility and Interoperability in CORBA Security.,2.9669186898502895
A Coequational Approach to Specifying Behaviours.,2.9550305880716397
Bisimulation in Untyped Lambda Calculus: Böhm Trees and Bisimulation up to Context.,2.939977815848001
Enforcing Security and Safety with Proof-Carrying Code.,2.928209411683061
"Denotational Semantics of Shape: Past, Present and Future.",2.9154991380570574
Combining Local and Global Model Checking.,2.9032964430183004
"Monads, Effects and Transformations.",2.8880375901914874
Towards Verified Lazy Implementation of Concurrent Value-Passing Languages.,2.8784734796103564
On proving syntactic properties of CPS programs.,2.8435829066899836
Model checking of causal knowledge formulas.,2.8326675274581437
On coalgebra of real numbers.,2.8232678095632826
The control component of open mechanized reasoning systems.,2.8207677639805735
MBase: Representing mathematical knowledge in a relational data base.,2.809326431021263
"Local Dcpos, Local Cpos and Local Completions.",2.8066861580223943
Concurrent Symbolic Verification of Liveness Properties for Interleaved Models.,2.7966639133338105
Process Realizability.,2.7890901809550663
Space-Profiling Semantics of the Call-by-Value Lambda Calculus and the CPS Transformation.,2.7857078171071055
Reasoning About Recursive Processes: Expansion is not Always Fair.,2.785386483426919
The development of interactive algorithms for the Mathematical Environment.,2.781976208813167
On linguistic aspects of integration of computer mathematical knowledge.,2.7378459737853986
Electronic Purse Applet Certification: extended abstract.,2.7368299421252913
Cryptographic Security of Reactive Systems.,2.723369173209338
From Partial Orders with Projections to Domains.,2.7155492414515874
The OMRS project: State of the art.,2.7103238390558113
Symbolic State Exploration.,2.7070722391447175
Local Realizability Toposes and a Modal Logic for Computability.,2.7052753644053564
A Categorical and Graphical Treatment of Closure Conversion.,2.694356106088639
Coinductive Models of Finite Computing Agents.,2.66842236765384
Completeness Classes of Equilogical Spaces.,2.657162714822249
Effectivity and Density in Domains: A Survey.,2.6449030532942883
History and Developments.,2.6154253129740472
Agent based mathematical reasoning.,2.5983706548966734
Distributivity for a monad and a comonad.,2.5905475601501404
From SOS Specifications to Structured Coalgebras: How to Make Bisimulation a Congruence.,2.5769087946369527
Secrecy in Security Protocols as Non Interference.,2.5729452327965476
On Equators in Asynchronous Name-passing Calculi without Matching.,2.5463982858833796
Petri nets with generalized algebra: a comparison.,2.5393078552943873
Monadic Encapsulation of Effects: a Revised Approach.,2.5184116515791635
Distributed timed automata.,2.5155036675802585
Power Simulation and its Relation to Traces and Failures Refinement.,2.5092820496156634
Towards a Strand Semantics for Authentication Logic.,2.4962378440324597
"Imprecise Exceptions, Co-Inductively.",2.49454497079893
Object Closure Conversion.,2.48530974567554
The MFPS XV Security Session.,2.4831687050203746
A Note on Hyperspaces and Terminal Coalgebras.,2.481419370585271
